,Borough,Neighborhood,ID,Name
75,Manhattan,Lincoln Square,4aed1141f964a52001cd21e3,Wok City
76,Manhattan,Clinton,4aa707ccf964a520d84b20e3,Ollie's Sichuan Restaurant
77,Manhattan,Midtown,5e024619523cd2000769f67a,Xi’an Famous Foods
78,Manhattan,Murray Hill,4e3484038877beb5e9a22a0b,Café China
79,Manhattan,Chelsea,44e9b421f964a520a5371fe3,Buddakan
80,Manhattan,Greenwich Village,5a20df1742d8c2528e74211f,Chow House
81,Manhattan,Greenwich Village,5b36566f666116002c6b265e,Junzi Kitchen
82,Manhattan,Greenwich Village,58a4fb9d30ecc618cdd5c3e2,Pinch Chinese
83,Manhattan,East Village,5b0078680ff4f9002c1c94bd,Dian Kitchen
84,Manhattan,East Village,5c831f04029a550039fcca38,Chinese Graffiti
85,Manhattan,East Village,5647ee82498e8bfc0ddef53d,Málà Project
86,Manhattan,Lower East Side,5b380f649deb7d00399fdf9d,Kings County Imperial
87,Manhattan,Lower East Side,5d9b6bef309f4b000893454d,3 Times
88,Manhattan,Lower East Side,4ccca398ee23a143929420a8,Wing Hing
89,Manhattan,Little Italy,5c965dad5455b2002c058659,Yi Ji Shi Mo Noodle Corp
90,Manhattan,Little Italy,59ad625a2619ee5cdded881f,House Special 甘來飯店
91,Manhattan,Little Italy,5d4c7b06f0483c0008422958,Green Garden Village
92,Manhattan,Soho,5bf4559c65cdf8002c6be196,Joe’s Steam Rice Roll
93,Manhattan,West Village,526eeb54498e9674b5d9034a,Decoy
94,Manhattan,West Village,4e1df590b61c7cb34d9735a8,RedFarm
95,Manhattan,Financial District,5b2d4c47d48ec10039bd8572,Old Xi’an Delicacy
96,Queens,Woodside,4ae1d8b2f964a520e78721e3,Peking BBQ Chicken
97,Queens,Elmhurst,56296f14498edb1ed77b64a3,Five Loaves and Two Fishes
98,Queens,Elmhurst,4eaf0752d3e30d448393b841,Lao Bei Fang
99,Queens,Howard Beach,4ba57b0af964a5205f0b39e3,Empire Buffet
100,Queens,Howard Beach,4bc8bd4f92b376b00f16523a,East Meets West
101,Queens,Corona,4e4d0d2abd413c4cc66e4138,Chuang Chef Chinese Restaurant
102,Queens,Forest Hills,4b68c90ff964a520da8c2be3,Great Wall Chinese Restaurant
103,Queens,Kew Gardens,4c350ac6452620a1502b260f,New China Fresh
104,Queens,Kew Gardens,4c585bb82308be9ab3405b6c,Jade Chinese Restaurant
105,Queens,Flushing,52235ea211d2fe55782d764c,Dong Yi Feng
106,Queens,Flushing,4abfef82f964a520179320e3,New Imperial Palace 東湖
